Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
Geant2012,21.282,84281484538735062171868395307266889489569117199673856,-,128.298,84281484538735062171868395307266889489569117199673856,-,191.811,84281484538735062171868395307266889489569117199673856,-,128.470,84281484538735062171868395307266889489569117199673856,-
Globenet,47.376,64421415402945201674398356763513082231810880,-,743.865,64421415402945201674398356763513082231810880,-,597.409,64421415402945201674398356763513082231810880,-,743.133,64421415402945201674398356763513082231810880,-
GtsCe,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
HiberniaGlobal,0.785,167702743319829806575827120,-,0.932,167702743319829806575827120,-,8.092,167702743319829806575827120,-,0.965,167702743319829806575827120,-
Highwinds,170.003,8138287226951413662322901815490966247900,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Iij,17.768,137108949987302317974696724082337580832771051874000,-,429.600,137108949987302317974696724082337580832771051874000,-,211.664,137108949987302317974696724082337580832771051874000,-,428.477,137108949987302317974696724082337580832771051874000,-
Intellifiber,1.079,36549802787055953709844384931432745900000,-,1.034,36549802787055953709844384931432745900000,-,7.232,36549802787055953709844384931432745900000,-,1.034,36549802787055953709844384931432745900000,-
Internode,1.170,17086140349704335830394759139844981612560,-,2.107,17086140349704335830394759139844981612560,-,6.985,17086140349704335830394759139844981612560,-,2.127,17086140349704335830394759139844981612560,-
Interoute,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Intranetwork,0.285,10550301506245098778162949708954793612570,-,0.303,10550301506245098778162949708954793612570,-,1.035,10550301506245098778162949708954793612570,-,0.302,10550301506245098778162949708954793612570,-
Ion,2.958,28974053246635502194526777647958400,-,3.700,28974053246635502194526777647958400,-,69.605,28974053246635502194526777647958400,-,3.592,28974053246635502194526777647958400,-
Iris,2.668,112566891049207111041061862674382154408460800,-,19.995,112566891049207111041061862674382154408460800,-,25.302,112566891049207111041061862674382154408460800,-,20.031,112566891049207111041061862674382154408460800,-
Kdl,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Latnet,1.112,881192229446354281751953125000,-,1.631,881192229446354281751953125000,-,27.716,881192229446354281751953125000,-,2.127,881192229446354281751953125000,-
Missouri,5.038,1998709288134217991220,-,9.322,1998709288134217991220,-,138.445,1998709288134217991220,-,9.129,1998709288134217991220,-
Ntelos,8.377,24690483989431723448923965342704977321718663728558080,-,32.162,24690483989431723448923965342704977321718663728558080,-,113.476,24690483989431723448923965342704977321718663728558080,-,30.573,24690483989431723448923965342704977321718663728558080,-
Ntt,1.091,2240076355517039400341618299647502136137432699354194169036800,-,25.470,2240076355517039400341618299647502136137432699354194169036800,-,10.200,2240076355517039400341618299647502136137432699354194169036800,-,25.396,2240076355517039400341618299647502136137432699354194169036800,-
Oteglobe,22.572,1380078795623701280078238316576410696206210115871703040,-,33.621,1380078795623701280078238316576410696206210115871703040,-,387.132,1380078795623701280078238316576410696206210115871703040,-,34.638,1380078795623701280078238316576410696206210115871703040,-
Palmetto,20.036,49996540641318003921652453825595413815846246081735920349645000,-,302.093,49996540641318003921652453825595413815846246081735920349645000,-,166.219,49996540641318003921652453825595413815846246081735920349645000,-,300.322,49996540641318003921652453825595413815846246081735920349645000,-
Pern,3.021,31359896822482775963408666258232795984375,-,14.129,31359896822482775963408666258232795984375,-,14.713,31359896822482775963408666258232795984375,-,14.047,31359896822482775963408666258232795984375,-
PionierL3,15.659,22085582726425610222238166859596321920,-,466.533,22085582726425610222238166859596321920,-,222.783,22085582726425610222238166859596321920,-,453.194,22085582726425610222238166859596321920,-
RedBestel,3.541,50416119991323377742371541676488442824955135029567342908357567711318435520000,-,7.486,50416119991323377742371541676488442824955135029567342908357567711318435520000,-,55.394,50416119991323377742371541676488442824955135029567342908357567711318435520000,-,7.465,50416119991323377742371541676488442824955135029567342908357567711318435520000,-
Renater2010,50.511,4018842348241317110117714562080347023626759380278336,-,1315.504,4018842348241317110117714562080347023626759380278336,-,731.165,4018842348241317110117714562080347023626759380278336,-,1388.874,4018842348241317110117714562080347023626759380278336,-
RoedunetFibre,1.497,26673886912630445540817492515755968,-,1.324,26673886912630445540817492515755968,-,21.646,26673886912630445540817492515755968,-,1.343,26673886912630445540817492515755968,-
Sinet,15.902,191673857894640619440941948761812,-,256.406,191673857894640619440941948761812,-,211.067,191673857894640619440941948761812,-,253.308,191673857894640619440941948761812,-
Surfnet,2.847,94800684301945458535179937248,-,2.873,94800684301945458535179937248,-,43.060,94800684301945458535179937248,-,2.886,94800684301945458535179937248,-
Switch,3.875,14609534147869034498645225042741563493852570131027835228880000,-,10.126,14609534147869034498645225042741563493852570131027835228880000,-,36.578,14609534147869034498645225042741563493852570131027835228880000,-,10.109,14609534147869034498645225042741563493852570131027835228880000,-
SwitchL3,24.066,140822025203406064685989130459371048023581344368012624053779200,-,TO,TO,TO,542.608,140822025203406064685989130459371048023581344368012624053779200,-,TO,TO,TO
Syringa,3.551,6186634853639282671231090617484420800,-,9.618,6186634853639282671231090617484420800,-,54.347,6186634853639282671231090617484420800,-,9.666,6186634853639282671231090617484420800,-
TataNld,9.488,260983043412261592981145570554786864292045010000,-,13.746,260983043412261592981145570554786864292045010000,-,172.722,260983043412261592981145570554786864292045010000,-,13.835,260983043412261592981145570554786864292045010000,-
Telcove,1.357,3729056438843059625929631747410057959406813644121063458,-,1.510,3729056438843059625929631747410057959406813644121063458,-,8.494,3729056438843059625929631747410057959406813644121063458,-,1.531,3729056438843059625929631747410057959406813644121063458,-
Tinet,1.446,2670635259240834118035453297853115718633384312143406518966400,-,14.228,2670635259240834118035453297853115718633384312143406518966400,-,7.209,2670635259240834118035453297853115718633384312143406518966400,-,14.288,2670635259240834118035453297853115718633384312143406518966400,-
Tw,5.762,59186321770984041356846605313285241760704607842264505037322240000,-,5.533,59186321770984041356846605313285241760704607842264505037322240000,-,71.451,59186321770984041356846605313285241760704607842264505037322240000,-,4.614,59186321770984041356846605313285241760704607842264505037322240000,-
Ulaknet,0.600,25091016529638677941716833121520736247187500,-,1.517,25091016529638677941716833121520736247187500,-,2.461,25091016529638677941716833121520736247187500,-,1.514,25091016529638677941716833121520736247187500,-
Uninett2010,148.663,7103435552897510611452671323375387611905672684666220210797814263218236538958163702332729441660160,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Uninett2011,47.625,13536445827818292423840645586359869677357641102109242572525876547669920342128481450148364563456,-,TO,TO,TO,476.326,13536445827818292423840645586359869677357641102109242572525876547669920342128481450148364563456,-,TO,TO,TO
UsCarrier,20.845,494830411885041260424830122222636927900512637518610110000,-,43.270,494830411885041260424830122222636927900512637518610110000,-,527.470,494830411885041260424830122222636927900512637518610110000,-,44.239,494830411885041260424830122222636927900512637518610110000,-
UsSignal,66.667,37726970232550849899528003060637793219712,-,736.323,37726970232550849899528003060637793219712,-,1489.697,37726970232550849899528003060637793219712,-,722.164,37726970232550849899528003060637793219712,-
Uunet,13.870,6216666147457984708300994148521401269197824662920448385106083776179808000,-,205.152,6216666147457984708300994148521401269197824662920448385106083776179808000,-,185.530,6216666147457984708300994148521401269197824662920448385106083776179808000,-,204.291,6216666147457984708300994148521401269197824662920448385106083776179808000,-
VtlWavenet2008,144.755,4460655755253656472387103423821600,-,262.483,4460655755253656472387103423821600,-,TO,TO,TO,260.817,4460655755253656472387103423821600,-
VtlWavenet2011,7.056,13486323596215757120861757926748724539647280,-,5.554,13486323596215757120861757926748724539647280,-,129.118,13486323596215757120861757926748724539647280,-,5.615,13486323596215757120861757926748724539647280,-
bell-09,0.568,21147,-,0.566,21147,-,0.672,21147,-,0.567,21147,-
bell-10,4.960,115975,-,7.907,115975,-,5.804,115975,-,7.891,115975,-
delta,47.755,78,-,58.741,78,-,384.315,78,-,30.845,78,-
dominoes_10x10,0.116,258584046368,-,10.821,258584046368,-,92.532,429041663456,-,0.208,258584046368,-
dominoes_8x8,0.049,12988816,-,0.059,12988816,-,0.536,23647984,-,0.025,12988816,-
