Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo10262.100,1.609,6525746259024633846681600,-
grafo10265.100,0.602,32094343893604867070884746240,-
grafo10266.94,2.193,110801121815568366975240,-
grafo10269.99,6.399,380480960212526987313930000,-
grafo10273.97,3.188,33635956333383979125105139200,-
grafo10275.97,5.513,244643834228122975019518779960,-
grafo10288.95,0.847,67924110954574990800416160000,-
grafo10291.93,2.421,8089182960223746111277546359360,-
grafo10292.100,TO,TO,TO
grafo10293.99,1.809,1189967169400391312521176624192,-
grafo10297.98,1.712,5047361956059511058420258045952,-
grafo10298.97,1.302,6411956755318891248938904345600,-
grafo10303.96,0.984,336623282871798635541043488000,-
grafo10305.100,5.852,292616449355000172969265830912,-
grafo10318.98,16.132,160075764596308430431394162528,-
grafo10325.96,15.277,1515402842894491432903083787725,-
grafo10327.97,1.465,6668191872233180852367168,-
grafo10339.95,28.106,154016948980994323270086040,-
grafo10346.97,2.379,85352803321813705564434487680,-
grafo10351.97,89.599,3038891642273243664196962750,-
grafo10353.99,4.062,577765059452569037115956736,-
grafo10354.99,2.291,2635922965070113457943960,-
grafo10359.95,36.405,21232201433844641535018326254080,-
grafo10362.94,13.558,13439932228370461283870400,-
grafo10365.97,299.759,25575909770099386458374460,-
grafo10369.100,7.001,162269574458684398363738080,-
grafo10382.94,TO,TO,TO
grafo10383.99,26.948,48590627320293679248909600,-
grafo10387.97,0.619,928110106585327508832600,-
grafo10388.95,3.426,100871271571286563976946948624,-
grafo10393.96,401.419,425495802885845177760459850700,-
grafo10405.97,TO,TO,TO
grafo10409.96,1.176,139058476479714794419701648,-
grafo10416.96,1.100,271249176254157952533452952,-
grafo10418.100,1.544,147754061920021215867995714457600,-
grafo10420.97,1.014,40799332872710765774848481424384,-
grafo10421.99,5.812,52350402903229612656419750400,-
grafo10426.100,34.483,1827792182028002330287070982157036,-
grafo10432.99,2.374,39585030704867624378340600668160,-
grafo10434.98,TO,TO,TO
grafo10436.95,35.310,4397495877745499771502988640640,-
grafo10441.98,TO,TO,TO
grafo10444.100,2.393,16141694039854526732472576000000,-
grafo10445.94,36.848,139093054073990193881088000,-
grafo10446.95,1.222,1406626619252431805138851200,-
grafo10452.94,0.836,1302522886890895552129225440,-
grafo10453.97,1.151,978085055060719586502813757440,-
grafo10467.100,4.478,829005255557150402856812544000,-
grafo10469.100,3.046,29833371992729329249984,-
grafo10474.94,33.373,379074777475066237548576,-
grafo10484.99,22.797,2800369925851353194772692875,-
grafo10488.98,1.555,147530693993345834083200,-
grafo10489.95,TO,TO,TO
grafo10491.97,TO,TO,TO
grafo10492.96,517.321,38385060996073952528012304,-
grafo10496.98,559.816,14305056819480615155962966224,-
grafo10501.96,7.770,60200824737438188138649600000,-
grafo10502.91,5.501,17145714310767787059504,-
grafo10508.100,623.670,4511299976859460536969453195036,-
grafo10516.94,21.888,15349626258814572399639360,-
grafo10522.99,76.417,1362396344215079666562581191680,-
grafo10523.97,10.033,2582091752234108448983040,-
grafo10532.99,6.942,462566039822118771475073572512,-
grafo10533.100,9.206,75765334881122745334866192794594400,-
grafo10534.100,1.471,6190404474802541320344211290206208,-
grafo10536.99,1.221,89947113720736152688205852520,-
grafo10537.95,TO,TO,TO
grafo10538.100,6.765,789373682830989325271163816,-
grafo10547.94,5.975,6784952125033040430938400,-
grafo10549.99,13.280,1145040940241452014901674319885248,-
grafo10552.96,58.335,20889029397226285157195570148,-
grafo10560.95,1.874,10454917675207673432929607718912,-
grafo10575.99,10.239,290401904358524035719206484192,-
grafo10577.100,29.877,289452947838024215689962434880,-
grafo10578.96,1.890,59448044221069477278245400,-
grafo10586.100,1.580,3148492073586458925239257920,-
grafo10589.93,22.223,48907524397035141831510108060,-
grafo10592.98,4.397,2607343682329504256862467094951600,-
grafo10596.99,2.670,112573774918535869185914200320,-
grafo10603.100,3.170,670515323535794966768000,-
grafo10608.93,3.030,2731816373006312109429752800,-
grafo10624.91,1.015,28252598579182428029482758660,-
grafo10626.100,0.708,123805968402809495607386400,-
grafo10630.94,25.450,42203028634531492749435200,-
grafo10632.100,30.092,574873638719068404760642606008000,-
grafo10633.100,TO,TO,TO
grafo10634.96,9.825,1654661607863151503791546470072,-
grafo10635.95,2.438,71356613932690877273184000,-
grafo10637.94,3.233,11214433932496991100576672,-
grafo10638.100,1.333,186453077689245827319552,-
grafo10644.100,5.649,465721805127078320112415926,-
grafo10646.100,1.814,9820844339917672108320000,-
grafo10648.98,37.421,356474569742739338284800,-
grafo10650.98,145.206,34469989471030631805056520,-
grafo10652.100,1001.685,3980767018871922537250737072,-
grafo10653.100,128.090,1342947580955101731654364320,-
grafo10662.100,4.420,27178777349470484479346220000,-
grafo10663.99,2.738,10004537904397046812627562880,-
grafo10670.100,TO,TO,TO
grafo10671.100,381.947,624388665254004882462918502728,-
grafo10674.99,9.749,5795071987312867464401288085504,-
grafo10676.100,1.850,88449251051691116273910908805120,-
grafo10685.98,1.988,18933970214606610605994945868800,-
grafo10688.95,421.319,7478181939256863448721096448,-
grafo10689.98,4.866,1370682840424281115042080000,-
grafo10693.98,0.843,15811121663230543469294733740160,-
grafo10694.96,TO,TO,TO
grafo10695.98,5.330,152426309856396886819860480,-
grafo10696.99,7.922,5204295119772122743131779016000,-
grafo10698.95,0.600,195624642073083526902416762880,-
grafo10700.98,0.919,2303423420658486348064432128000,-
grafo10712.98,11.363,87350475221980225179971773660000,-
grafo10713.92,42.123,762510033365435299350000,-
grafo10714.99,TO,TO,TO
grafo10722.96,31.735,7181570767061926043280,-
grafo10726.99,3.912,1169388613595008901313330971328,-
grafo10735.99,TO,TO,TO
grafo10736.99,1.660,654533353008865416702686400,-
grafo10737.99,14.572,948450972521583413184960,-
grafo10750.100,2.794,79424048531055784214151971742570,-
grafo10758.96,2.984,14393936331269128652052040205472000,-
grafo10760.96,36.578,44506808727552680251881600,-
grafo10772.100,TO,TO,TO
grafo10780.99,437.748,100509624870633878324896188000,-
grafo10781.100,3.575,34326665474148801719856,-
grafo10792.98,11.886,28740760556884933575573102213120,-
grafo10806.97,58.276,35882395822546962110864956512,-
grafo10807.95,24.749,593601033156740569446885,-
grafo10808.98,16.247,378121638730523407451224668000,-
grafo10810.97,MEMOUT,MEMOUT,MEMOUT
grafo10811.96,10.026,62515660367842952114211840,-
grafo10814.98,19.470,1117495537268725326331067884800,-
grafo10820.100,TO,TO,TO
grafo10825.98,0.786,448703730980795389658142516768,-
grafo10827.99,209.080,55037159210177477446446115200,-
grafo10829.97,2.842,353483805373369159926528000,-
grafo10831.98,3.016,132171520291202302513208524800,-
grafo10832.94,TO,TO,TO
grafo10836.97,3.612,53328914740725442127812132608,-
grafo10849.95,1.571,146263666707748943943862272000,-
grafo10854.99,1.611,193278561796094961314540049523200,-
grafo10859.97,1.764,619544659954727747936779866,-
grafo10860.93,1.835,82576179328076510630400,-
grafo10861.100,1.612,7829288665158404488852831676796000,-
grafo10862.98,TO,TO,TO
grafo10864.99,20.377,16665764537733819344371841148,-
grafo10865.100,TO,TO,TO
grafo10866.98,836.367,68356641445009397216264450802,-
grafo10876.98,TO,TO,TO
grafo10878.94,4.722,40448324839475188109531614233600,-
grafo10882.95,3.348,447542272092260259015739440,-
grafo10883.93,7.054,2430118976009979196378800000,-
grafo10898.95,0.910,758521327325540596697880000,-
grafo10905.97,0.894,12135924843732264824121600000,-
grafo10907.99,325.847,32617260794404341954987264,-
grafo10908.98,14.267,6900725645688243858242801600,-
grafo10911.100,TO,TO,TO
grafo10918.98,8.857,32800654433715516623943360,-
grafo10919.97,2.165,4873808896014194882486512200,-
grafo10926.99,1.353,401726519668839391778054937600,-
grafo10928.100,35.850,9190740681040137170433128446800,-
grafo10937.100,1.605,911068768064780693215657056000,-
grafo10943.95,3.881,2232135796878792160387153920000,-
grafo10945.98,4.619,95891009417905168894140000,-
grafo10950.97,TO,TO,TO
grafo10952.96,154.613,391142330406672230736365760,-
grafo10958.98,TO,TO,TO
grafo10962.100,TO,TO,TO
grafo10970.100,5.853,2452216546463682773005463232,-
grafo10972.95,30.131,730244896653297849257953429260,-
grafo10976.92,37.493,10759050697100237213220300916440,-
grafo10998.100,TO,TO,TO
grafo11000.99,3.517,1217725012095539482686059005177080,-
grafo11001.97,TO,TO,TO
grafo11003.100,7.995,3976499213449309516733400000,-
grafo11008.99,12.718,3675203970100782918317392,-
grafo11011.100,2.214,140688757390106390892469346304000,-
grafo11014.100,1.360,102699410881895065529306726096461824,-
grafo11015.98,28.708,5799643168166328288201029091456,-
grafo11016.98,4.076,7526571230364813338624640,-
grafo11020.100,2.755,20444842677214024445820085111800000,-
grafo11035.99,1.009,26848343803661264515276800,-
grafo11037.99,83.825,917919013779536488534653696,-
grafo11039.96,3.039,3389918511944201602117280,-
grafo11044.95,0.851,1197912132516610056000,-
grafo11047.92,TO,TO,TO
grafo11050.98,3.445,21793683158398046358023808,-
grafo11056.98,16.290,139448046035464528744346345472,-
grafo11060.99,3.061,2221581091015208181652619592894,-
grafo11067.98,333.144,4884715904609705915728260,-
grafo11069.93,4.150,67197688711299492990806963592,-
grafo11070.94,2.287,296693280114774832563512784000,-
grafo11072.98,TO,TO,TO
grafo11073.100,TO,TO,TO
grafo11076.97,1.063,3926107989980203149244661760,-
grafo11088.97,1.279,1042994082302208333696820608,-
grafo11096.97,1.112,21190592381506159344503198702400000,-
grafo11099.99,TO,TO,TO
grafo11100.95,557.318,1816713943740179220678036480,-
grafo11101.95,15.157,925307123039192848461312,-
grafo11102.98,2.691,78159853560697776,-
grafo11105.95,13.021,2780329361017679787740480496,-
grafo11106.99,2.243,1800410829963731636845259520,-
grafo11110.99,2.274,3283273471348689681777012,-
grafo11112.96,6.438,32730420111605723465368,-
grafo11113.98,0.970,85282876610070364386506217600,-
grafo11114.93,3.279,19671423926865926171894250009840,-
grafo11115.92,0.677,457952153329344881847182400,-
grafo11119.98,27.327,150127383667946760788494187520,-
grafo11125.100,MEMOUT,MEMOUT,MEMOUT
grafo11140.98,0.575,12949719097651467435583488000,-
grafo11142.99,4.200,1972035514499084401578914190442500,-
grafo11143.98,0.590,21006525537883519741138348800,-
grafo11144.92,2.000,69290945340192171185472000,-
grafo11145.99,6.984,3903575490174366298584834349500,-
