Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
Tw,4.360,59186321770984041356846605313285241760704607842264505037322240000,-,4.890,59186321770984041356846605313285241760704607842264505037322240000,-,TO,TO,TO,4.780,59186321770984041356846605313285241760704607842264505037322240000,-
Ulaknet,2.670,25091016529638677941716833121520736247187500,-,2.960,25091016529638677941716833121520736247187500,-,1.320,25091016529638677941716833121520736247187500,-,2.910,25091016529638677941716833121520736247187500,-
Uninett2010,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Uninett2011,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
UsCarrier,26.910,494830411885041260424830122222636927900512637518610110000,-,40.200,494830411885041260424830122222636927900512637518610110000,-,TO,TO,TO,42.080,494830411885041260424830122222636927900512637518610110000,-
UsSignal,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Uunet,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
VtlWavenet2008,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
VtlWavenet2011,10.160,13486323596215757120861757926748724539647280,-,22.790,13486323596215757120861757926748724539647280,-,TO,TO,TO,20.820,13486323596215757120861757926748724539647280,-
bell-09,0.740,21147,-,0.530,21147,-,0.720,21147,-,0.540,21147,-
bell-10,6.760,115975,-,5.090,115975,-,5.520,115975,-,5.160,115975,-
delta,285.360,83,-,217.900,79,-,TO,TO,TO,58.610,78,-
dominoes_10x10,0.560,258584046368,-,4.620,258584046368,-,52.260,429041663456,-,1.330,258584046368,-
dominoes_8x8,0.030,12988816,-,0.150,12988816,-,0.520,23647984,-,0.040,12988816,-
doublefact-17,TO,TO,TO,31.670,34459425,-,44.700,34459425,-,31.600,34459425,-
doublefact-19,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
exotic_fives,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10116.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10184.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10204.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10237.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10259.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10292.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10305.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10418.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10446.95,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10469.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10492.96,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10508.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10534.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10538.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10632.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10638.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10644.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10646.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10652.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10653.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10671.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10772.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10781.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10820.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10865.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10928.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10958.98,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10962.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10998.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11003.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11020.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11073.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11125.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11227.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11335.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11458.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo3532.99,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo7797.100,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
