Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions
grafo10864.99,22.442,16665764537733819344371841148,40178,TO,TO,TO,8.749,16665764537733819344371841148,30164
grafo10878.94,3.129,40448324839475188109531614233600,32860,24.193,40448324839475188109531614233600,69156,4.881,40448324839475188109531614233600,33454
grafo10882.95,3.340,447542272092260259015739440,22913,12.432,447542272092260259015739440,46900,1.926,447542272092260259015739440,25627
grafo10883.93,2.600,2430118976009979196378800000,9008,22.313,2430118976009979196378800000,9114,2.397,2430118976009979196378800000,7678
grafo10898.95,0.585,758521327325540596697880000,6301,1.875,758521327325540596697880000,6487,0.451,758521327325540596697880000,3897
grafo10905.97,0.428,12135924843732264824121600000,5934,1.456,12135924843732264824121600000,11235,0.352,12135924843732264824121600000,5485
grafo10907.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10908.98,6.517,6900725645688243858242801600,43165,TO,TO,TO,5.360,6900725645688243858242801600,22788
grafo10918.98,6.428,32800654433715516623943360,58442,21.639,32800654433715516623943360,63423,5.308,32800654433715516623943360,40837
grafo10919.97,1.310,4873808896014194882486512200,13586,4.650,4873808896014194882486512200,31677,0.818,4873808896014194882486512200,11597
grafo10926.99,0.891,401726519668839391778054937600,11958,3.417,401726519668839391778054937600,14117,0.516,401726519668839391778054937600,5018
grafo10928.100,28.856,9190740681040137170433128446800,232253,TO,TO,TO,27.244,9190740681040137170433128446800,105301
grafo10937.100,0.934,911068768064780693215657056000,13372,5.108,911068768064780693215657056000,38299,0.692,911068768064780693215657056000,12984
grafo10943.95,1.402,2232135796878792160387153920000,21315,24.707,2232135796878792160387153920000,117541,1.303,2232135796878792160387153920000,25501
grafo10945.98,3.132,95891009417905168894140000,22720,19.935,95891009417905168894140000,27723,2.549,95891009417905168894140000,11393
grafo10952.96,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10970.100,3.020,2452216546463682773005463232,26184,12.954,2452216546463682773005463232,44444,3.412,2452216546463682773005463232,27482
grafo10972.95,22.328,730244896653297849257953429260,244082,TO,TO,TO,15.220,730244896653297849257953429260,191784
grafo10976.92,14.536,10759050697100237213220300916440,52036,TO,TO,TO,11.924,10759050697100237213220300916440,41749
grafo11000.99,2.604,1217725012095539482686059005177080,27670,TO,TO,TO,2.650,1217725012095539482686059005177080,28610
grafo11003.100,5.839,3976499213449309516733400000,66210,TO,TO,TO,3.720,3976499213449309516733400000,33730
grafo11008.99,11.332,3675203970100782918317392,80980,TO,TO,TO,8.233,3675203970100782918317392,46157
grafo11011.100,2.060,140688757390106390892469346304000,27571,11.356,140688757390106390892469346304000,49208,1.259,140688757390106390892469346304000,15365
grafo11014.100,0.951,102699410881895065529306726096461824,18970,4.015,102699410881895065529306726096461824,38308,0.639,102699410881895065529306726096461824,15071
grafo11015.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11016.98,2.570,7526571230364813338624640,9636,TO,TO,TO,2.164,7526571230364813338624640,7019
grafo11020.100,1.249,20444842677214024445820085111800000,19203,7.559,20444842677214024445820085111800000,51228,1.248,20444842677214024445820085111800000,19712
grafo11035.99,0.446,26848343803661264515276800,4344,1.271,26848343803661264515276800,7502,0.483,26848343803661264515276800,5020
grafo11037.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11039.96,1.624,3389918511944201602117280,18579,5.116,3389918511944201602117280,29376,1.106,3389918511944201602117280,21207
grafo11044.95,0.441,1197912132516610056000,5515,1.167,1197912132516610056000,11751,0.291,1197912132516610056000,5732
grafo11050.98,1.524,21793683158398046358023808,19099,14.814,21793683158398046358023808,49475,2.323,21793683158398046358023808,20008
grafo11056.98,TO,TO,TO,TO,TO,TO,11.145,139448046035464528744346345472,43942
grafo11060.99,1.962,2221581091015208181652619592894,30431,TO,TO,TO,2.333,2221581091015208181652619592894,29104
grafo11067.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11069.93,4.124,67197688711299492990806963592,41611,TO,TO,TO,1.733,67197688711299492990806963592,19277
grafo11070.94,1.280,296693280114774832563512784000,19491,TO,TO,TO,1.197,296693280114774832563512784000,23165
grafo11076.97,0.661,3926107989980203149244661760,7094,1.028,3926107989980203149244661760,8540,0.374,3926107989980203149244661760,7859
grafo11088.97,1.876,1042994082302208333696820608,5112,8.757,1042994082302208333696820608,9574,1.150,1042994082302208333696820608,5173
grafo11096.97,0.623,21190592381506159344503198702400000,10577,2.888,21190592381506159344503198702400000,27395,0.505,21190592381506159344503198702400000,8816
grafo11101.95,TO,TO,TO,TO,TO,TO,7.969,925307123039192848461312,20270
grafo11102.98,1.330,78159853560697776,13662,6.069,78159853560697776,26634,0.687,78159853560697776,9450
grafo11105.95,13.322,2780329361017679787740480496,101104,TO,TO,TO,11.728,2780329361017679787740480496,103480
grafo11106.99,2.317,1800410829963731636845259520,21773,5.038,1800410829963731636845259520,20793,1.583,1800410829963731636845259520,13962
grafo11110.99,1.792,3283273471348689681777012,20552,7.848,3283273471348689681777012,47314,1.172,3283273471348689681777012,13418
grafo11112.96,6.500,32730420111605723465368,51518,12.781,32730420111605723465368,54553,3.692,32730420111605723465368,33540
grafo11113.98,0.530,85282876610070364386506217600,8850,2.663,85282876610070364386506217600,24060,0.180,85282876610070364386506217600,6463
grafo11114.93,2.057,19671423926865926171894250009840,27037,9.523,19671423926865926171894250009840,71992,1.158,19671423926865926171894250009840,26212
grafo11115.92,0.366,457952153329344881847182400,3922,1.394,457952153329344881847182400,5415,0.354,457952153329344881847182400,3201
grafo11119.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11140.98,0.255,12949719097651467435583488000,5741,0.916,12949719097651467435583488000,12752,0.110,12949719097651467435583488000,4881
grafo11142.99,4.124,1972035514499084401578914190442500,51128,TO,TO,TO,1.568,1972035514499084401578914190442500,45702
grafo11143.98,0.229,21006525537883519741138348800,3439,0.608,21006525537883519741138348800,7969,0.116,21006525537883519741138348800,3163
grafo11144.92,0.958,69290945340192171185472000,11779,4.304,69290945340192171185472000,25681,1.960,69290945340192171185472000,22026
grafo11145.99,11.799,3903575490174366298584834349500,75539,TO,TO,TO,5.134,3903575490174366298584834349500,49125
grafo11148.99,9.918,26041694824934201896252713228780,151376,TO,TO,TO,4.708,26041694824934201896252713228780,93514
grafo11157.100,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11181.95,0.523,204303551180648012431583604480,5857,1.760,204303551180648012431583604480,9953,0.420,204303551180648012431583604480,4290
grafo11198.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11201.99,0.926,1147720450559495792252226408000,10015,3.584,1147720450559495792252226408000,17589,0.989,1147720450559495792252226408000,9345
grafo11218.99,6.227,981634254919532297202912,20037,TO,TO,TO,5.569,981634254919532297202912,18605
grafo11223.99,0.767,2360818719012081418650711306540,16348,6.371,2360818719012081418650711306540,78715,0.284,2360818719012081418650711306540,13172
grafo11227.100,4.752,2716288583159839941443148,50526,TO,TO,TO,2.679,2716288583159839941443148,32877
grafo11250.99,3.907,8943747317419205357818461381583296,55024,TO,TO,TO,2.423,8943747317419205357818461381583296,36909
grafo11251.93,1.088,4809787111811592399184022526528,14366,4.738,4809787111811592399184022526528,28141,0.949,4809787111811592399184022526528,13660
grafo11254.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo11271.99,TO,TO,TO,TO,TO,TO,13.535,109664252023274371019546173840,58876
grafo11280.99,4.722,83393808943885689836202,18681,5.765,83393808943885689836202,22415,1.625,83393808943885689836202,13475
grafo11313.96,2.444,7003276840515664560,13081,8.944,7003276840515664560,31591,1.752,7003276840515664560,17375
grafo11324.100,5.566,560387610526314185205659607711744,57041,TO,TO,TO,6.455,560387610526314185205659607711744,39882
grafo11335.100,0.548,61471332725994635285503002432000,6726,1.332,61471332725994635285503002432000,12803,0.423,61471332725994635285503002432000,7282
grafo11458.100,4.505,32929161513245347400780796768,40268,TO,TO,TO,4.212,32929161513245347400780796768,28339
grafo11469.96,4.657,165728243199277045297920000,48914,TO,TO,TO,3.559,165728243199277045297920000,45113
grafo11546.97,0.837,75444469155251576685056404800,11097,4.082,75444469155251576685056404800,26521,0.838,75444469155251576685056404800,10763
grafo11569.93,4.842,4844612865840488301571200,25901,TO,TO,TO,4.131,4844612865840488301571200,8180
grafo3435.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo3532.99,0.594,28327450894599629841700806720,5948,1.703,28327450894599629841700806720,12891,0.504,28327450894599629841700806720,6448
grafo3680.99,2.558,2149519026657629741871667680000,15420,TO,TO,TO,2.360,2149519026657629741871667680000,11163
grafo3712.95,0.447,5258623445171291339393040,5227,1.691,5258623445171291339393040,10815,0.397,5258623445171291339393040,5656
grafo3861.99,1.506,16121448104607716575683640617648,22910,7.548,16121448104607716575683640617648,51365,1.511,16121448104607716575683640617648,20582
grafo3890.96,1.255,8944113065325995850718418621147520,7511,5.735,8944113065325995850718418621147520,8585,1.055,8944113065325995850718418621147520,5036
grafo3898.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo3979.98,1.005,423904573438761629195520,3722,5.482,423904573438761629195520,3795,0.572,423904573438761629195520,3099
grafo3995.97,4.018,5931077209549283555589214132590240,42217,TO,TO,TO,2.394,5931077209549283555589214132590240,21893
grafo4091.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo6562.98,0.332,236273893424318395676761226496,4853,1.200,236273893424318395676761226496,8987,0.317,236273893424318395676761226496,4350
grafo6625.99,0.607,1337161524838599745621440,5414,1.028,1337161524838599745621440,6372,0.406,1337161524838599745621440,5005
grafo6975.39,2.213,320039444695988826981559487100000,23823,TO,TO,TO,2.112,320039444695988826981559487100000,17024
grafo7221.99,0.333,1525888907338681754882536320000,4791,1.672,1525888907338681754882536320000,13489,0.377,1525888907338681754882536320000,5786
grafo7263.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo7417.39,0.392,413427890976458123248101187541280000,9034,2.746,413427890976458123248101187541280000,30427,0.359,413427890976458123248101187541280000,8754
grafo7785.100,1.368,557646274243607696621728263360,16722,14.644,557646274243607696621728263360,38249,1.296,557646274243607696621728263360,10263
grafo7797.100,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo7907.80,1.301,56046368067982192880179200,18775,14.361,56046368067982192880179200,115413,1.470,56046368067982192880179200,18672
grafo8008.95,4.145,2836630049700547381881600,30150,TO,TO,TO,3.519,2836630049700547381881600,15925
grafo8127.78,0.162,66208157321355098849280,1890,0.522,66208157321355098849280,5203,0.187,66208157321355098849280,2259
grafo8198.99,0.636,649388601659380264242499152000,7370,2.416,649388601659380264242499152000,20422,0.449,649388601659380264242499152000,6612
grafo8223.99,0.376,334422330310025516401710173429760,7587,1.721,334422330310025516401710173429760,23020,0.178,334422330310025516401710173429760,7198
grafo8373.100,0.502,742658646888847672838471232000,5125,1.350,742658646888847672838471232000,8059,0.386,742658646888847672838471232000,3990
grafo8478.98,3.122,12250781027964153710065548,24216,TO,TO,TO,2.826,12250781027964153710065548,18061
grafo8510.100,4.712,2522290965851353756626557847360,54750,TO,TO,TO,2.411,2522290965851353756626557847360,17354
grafo8566.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo8571.94,1.497,60036648006230924769664308000,15251,8.356,60036648006230924769664308000,22564,1.252,60036648006230924769664308000,15608
grafo8673.98,12.166,3665987126814610816771132800,36260,TO,TO,TO,10.314,3665987126814610816771132800,22885
grafo8674.100,5.426,4411819550965378162337392234383360,69139,TO,TO,TO,4.197,4411819550965378162337392234383360,34010
grafo8739.99,13.886,3376726709558271550550300000,55895,TO,TO,TO,10.343,3376726709558271550550300000,30492
grafo8777.98,0.373,527114627133616421733651616800,5141,1.082,527114627133616421733651616800,7693,0.301,527114627133616421733651616800,4572
grafo8780.96,2.928,106865700460093439124794247168,9195,TO,TO,TO,2.607,106865700460093439124794247168,7730
grafo8791.94,7.094,41589594170975930336399016,74602,TO,TO,TO,3.733,41589594170975930336399016,62079
grafo8793.100,0.707,6290998565958574189476048,6004,1.802,6290998565958574189476048,9699,0.616,6290998565958574189476048,5655
grafo8823.93,3.559,2471867976793564523950612320,15144,TO,TO,TO,3.012,2471867976793564523950612320,12021
grafo8826.100,0.818,1834705985117148849612007324569600,10746,4.248,1834705985117148849612007324569600,31806,0.852,1834705985117148849612007324569600,11347
grafo8857.99,2.160,313543526986779746908720331250,16428,TO,TO,TO,1.086,313543526986779746908720331250,13062
grafo8864.98,2.417,1950049320147521882078400,17909,11.108,1950049320147521882078400,28938,1.513,1950049320147521882078400,9050
grafo8867.97,8.556,685433148081827754240945612000,95810,TO,TO,TO,4.437,685433148081827754240945612000,63979
grafo8882.100,3.358,60433143070321573071599902510800,43846,TO,TO,TO,3.060,60433143070321573071599902510800,34004
grafo8892.100,0.389,156239009903443337640000,5083,2.494,156239009903443337640000,10660,0.366,156239009903443337640000,4904
grafo8893.96,0.111,8420211467291839036389765120,2485,0.387,8420211467291839036389765120,6434,0.051,8420211467291839036389765120,2252
grafo8943.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo9008.91,0.921,72401743992697856645701464672,12128,4.651,72401743992697856645701464672,35022,0.841,72401743992697856645701464672,16425
grafo9357.99,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo9362.98,6.631,211356181498372577399700,73826,TO,TO,TO,2.217,211356181498372577399700,38117
grafo9691.79,0.363,150604398614405598500000,4980,2.877,150604398614405598500000,19984,0.406,150604398614405598500000,5533
grafo9738.100,TO,TO,TO,TO,TO,TO,13.540,174103352259187595283132912000,135521
grafo9788.80,0.540,5964147984416058082800,7715,2.265,5964147984416058082800,14486,0.607,5964147984416058082800,7338
grafo9973.96,TO,TO,TO,TO,TO,TO,10.899,2561493285098512987929575760,52046
grafo9984.96,1.010,3696278631131858917807872,8189,7.354,3696278631131858917807872,24517,1.115,3696278631131858917807872,8203
grafo9995.94,3.876,6526238612574319118772318,34680,TO,TO,TO,2.468,6526238612574319118772318,15987
kts15-ptpt-0003,0.095,8,49,0.148,8,54,0.052,8,35
kts15-ptpt-0004,0.101,1,15,0.126,1,8,0.042,1,11
kts15-ptpt-0006,0.117,8,83,0.176,8,65,0.062,8,54
kts15-ptpt-0007,0.127,12,96,0.211,12,116,0.072,12,73
kts15-ptpt-0009,0.101,6,44,0.157,6,29,0.071,6,86
kts15-ptpt-0011,0.097,4,43,0.138,4,34,0.061,4,58
kts15-ptpt-0012,0.084,4,35,0.160,4,40,0.066,4,57
kts15-ptpt-0013,0.205,24,218,0.253,24,135,0.120,24,165
kts15-ptpt-0014,0.163,8,79,0.169,8,44,0.085,8,82
kts15-ptpt-0015,0.175,14,101,0.332,14,131,0.107,14,141
kts15-ptpt-0016,0.103,6,43,0.201,6,68,0.059,6,37
kts15-ptpt-0017,0.129,24,114,0.213,24,132,0.124,24,218
kts15-ptpt-0018,0.163,8,89,0.180,8,53,0.086,8,97
kts15-ptpt-0020,0.155,8,132,0.154,8,37,0.075,8,63
kts15-ptpt-0021,0.328,72,406,0.508,72,387,0.343,72,442
latin6-blk-00001,0.002,48,49,0.002,48,48,0.002,48,61
latin6-blk-00002,0.003,56,59,0.003,56,55,0.001,56,49
latin6-blk-00003,0.005,80,86,0.004,80,76,0.002,80,74
latin6-blk-00004,0.004,72,72,0.003,72,68,0.002,72,57
latin6-blk-00005,0.005,80,94,0.004,80,76,0.002,80,80
latin6-blk-00006,0.005,88,85,0.004,88,75,0.002,88,78
latin6-blk-00007,0.005,80,84,0.004,80,77,0.002,80,79
latin7-blk-00001,0.634,10752,8379,0.643,10752,5688,0.290,10752,8334
latin7-blk-00002,0.733,14976,10004,0.658,14976,8155,0.320,14976,9314
latin7-blk-00003,0.856,17280,11443,0.781,17280,9418,0.379,17280,10877
latin7-blk-00004,1.025,19840,12335,0.792,19840,9702,0.372,19840,9960
latin7-blk-00005,0.894,20480,11368,0.883,20480,10376,0.359,20480,10196
latin7-blk-00006,1.323,29056,15785,0.840,29056,11523,0.448,29056,12751
latin7-blk-00007,1.212,23616,14765,0.911,23616,11567,0.469,23616,12868
latin7-blk-00008,1.385,27072,17501,1.295,27072,10944,0.503,27072,14407
latin7-blk-00009,1.359,27776,15854,0.845,27776,11250,0.451,27776,12651
sppnw08,2.179,285701,18814,7.509,285701,12890,2.356,285701,10965
sppnw10,8.418,318168,32891,TO,TO,TO,8.922,318168,28170
sppnw12,1.327,496333530,6661,11.392,496333530,20247,1.029,496333530,5531
sppnw15,0.548,46,276,0.268,46,83,0.404,46,251
sppnw20,TO,TO,TO,TO,TO,TO,14.483,538696,44810
sppnw21,TO,TO,TO,12.099,291047,17261,5.465,291047,20066
sppnw22,TO,TO,TO,TO,TO,TO,10.284,286758,39784
sppnw23,1.687,80524,7047,2.555,80524,3133,2.673,80524,11685
sppnw24,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw25,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw26,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw27,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw28,4.466,20117,11840,TO,TO,TO,4.806,20117,10462
sppnw32,1.383,127126,17598,1.814,127126,6687,0.627,127126,4386
sppnw34,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw35,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw36,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw37,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw38,TO,TO,TO,TO,TO,TO,4.800,221108,5750
sppnw39,TO,TO,TO,TO,TO,TO,TO,TO,TO
sppnw40,TO,TO,TO,TO,TO,TO,2.355,298956,14640
sppnw41,0.537,163155,10606,1.157,163155,7152,0.441,163155,4838
sppnw42,TO,TO,TO,TO,TO,TO,TO,TO,TO
sts15-blk-00001,0.017,576,498,0.018,576,436,0.010,576,535
sts15-blk-00002,0.007,288,150,0.008,288,120,0.004,288,126
sts15-blk-00003,0.007,144,140,0.008,144,142,0.005,144,168
sts15-blk-00004,0.008,144,142,0.008,144,146,0.004,144,143
sts15-blk-00006,0.004,40,70,0.004,40,63,0.002,40,63
sts15-blk-00007,0.002,8,15,0.002,8,12,0.001,8,24
sts15-blk-00008,0.005,40,76,0.004,40,64,0.002,40,59
sts15-blk-00009,0.002,8,23,0.002,8,15,0.001,8,10
sts15-blk-00010,0.006,64,76,0.005,64,71,0.002,64,54
sts15-blk-00011,0.002,8,12,0.002,8,10,0.001,8,21
sts15-blk-00012,0.003,16,23,0.003,16,20,0.001,16,26
sts15-blk-00013,0.002,8,15,0.002,8,13,0.001,8,16
sts15-blk-00017,0.003,16,34,0.002,16,22,0.001,16,28
sts15-blk-00018,0.004,8,26,0.002,8,14,0.001,8,12
sts15-blk-00019,0.004,32,46,0.003,32,42,0.002,32,38
sts15-blk-00020,0.004,28,52,0.004,28,50,0.002,28,51
sts15-blk-00021,0.004,40,55,0.005,40,67,0.002,40,55
sts15-blk-00022,0.004,24,49,0.004,24,53,0.002,24,52
sts15-blk-00023,0.003,20,42,0.003,20,40,0.002,20,32
sts15-blk-00024,0.003,16,39,0.003,16,32,0.002,16,32
sts15-blk-00025,0.003,20,35,0.003,20,32,0.002,20,45
sts15-blk-00026,0.005,40,61,0.005,40,73,0.002,40,67
sts15-blk-00027,0.004,40,47,0.005,40,73,0.002,40,63
sts15-blk-00028,0.003,24,44,0.003,24,28,0.002,24,35
sts15-blk-00029,0.002,16,27,0.003,16,28,0.002,16,33
sts15-blk-00030,0.003,20,29,0.003,20,29,0.002,20,37
sts15-blk-00031,0.003,20,31,0.004,20,45,0.002,20,32
sts15-blk-00032,0.003,24,25,0.003,24,31,0.001,24,34
sts15-blk-00033,0.003,48,44,0.004,48,45,0.002,48,45
sts15-blk-00034,0.003,24,38,0.004,24,47,0.002,24,42
sts15-blk-00035,0.004,48,57,0.004,48,65,0.002,48,67
sts15-blk-00036,0.003,16,33,0.003,16,26,0.001,16,24
sts15-blk-00037,0.002,8,14,0.002,8,14,0.001,8,15
sts15-blk-00038,0.002,8,17,0.003,8,20,0.001,8,24
sts15-blk-00039,0.004,24,46,0.003,24,35,0.002,24,46
sts15-blk-00040,0.004,32,45,0.004,32,45,0.002,32,56
sts15-blk-00042,0.004,24,53,0.003,24,42,0.002,24,46
sts15-blk-00043,0.004,24,51,0.003,24,41,0.002,24,38
sts15-blk-00044,0.003,24,38,0.003,24,45,0.002,24,37
sts15-blk-00045,0.003,20,41,0.003,20,37,0.002,20,44
sts15-blk-00046,0.003,24,26,0.003,24,27,0.002,24,37
sts15-blk-00047,0.003,20,42,0.003,20,41,0.002,20,32
sts15-blk-00048,0.004,28,58,0.004,28,48,0.002,28,41
sts15-blk-00050,0.003,16,29,0.003,16,29,0.002,16,27
sts15-blk-00053,0.005,48,63,0.005,48,67,0.002,48,62
sts15-blk-00054,0.004,20,49,0.003,20,36,0.002,20,29
sts15-blk-00055,0.004,28,53,0.004,28,46,0.002,28,51
sts15-blk-00056,0.003,20,36,0.003,20,41,0.002,20,38
sts15-blk-00057,0.004,24,54,0.003,24,33,0.002,24,35
sts15-blk-00058,0.003,16,31,0.003,16,25,0.001,16,26
sts15-blk-00059,0.003,36,46,0.004,36,50,0.002,36,37
sts15-blk-00060,0.002,16,23,0.003,16,34,0.001,16,27
sts15-blk-00061,0.003,24,40,0.003,24,38,0.001,24,28
sts15-blk-00062,0.002,24,28,0.003,24,33,0.001,24,31
sts15-blk-00063,0.007,192,172,0.008,192,163,0.004,192,169
sts15-blk-00064,0.008,144,146,0.008,144,136,0.004,144,150
sts15-blk-00065,0.005,96,97,0.006,96,99,0.003,96,95
sts15-blk-00066,0.008,288,146,0.008,288,113,0.003,288,117
sts15-blk-00067,0.002,24,26,0.003,24,39,0.001,24,31
sts15-blk-00068,0.004,28,51,0.004,28,55,0.002,28,43
sts15-blk-00069,0.003,16,29,0.003,16,30,0.002,16,34
sts15-blk-00070,0.005,36,48,0.004,36,45,0.002,36,44
sts15-blk-00071,0.002,20,21,0.003,20,38,0.002,20,36
sts15-blk-00072,0.002,16,23,0.003,16,32,0.001,16,24
sts15-blk-00073,0.003,20,32,0.003,20,32,0.002,20,43
sts15-blk-00074,0.003,16,28,0.003,16,23,0.002,16,33
sts15-blk-00075,0.003,20,27,0.003,20,29,0.002,20,35
sts15-blk-00076,0.002,16,23,0.003,16,25,0.001,16,32
sts15-blk-00077,0.003,20,39,0.003,20,39,0.002,20,38
sts15-blk-00078,0.003,20,38,0.003,20,39,0.002,20,37
sts15-blk-00079,0.004,36,50,0.004,36,48,0.002,36,40
sts15-blk-00080,0.003,16,27,0.003,16,37,0.002,16,40
sts15-blk-00081,0.003,20,53,0.004,20,45,0.002,20,35
sts15-blk-00082,0.003,24,38,0.003,24,35,0.002,24,43
sts15-blk-00084,0.003,16,36,0.003,16,26,0.001,16,23
sts15-blk-00085,0.004,32,49,0.004,32,45,0.002,32,48
sts15-blk-00086,0.002,8,23,0.003,8,23,0.001,8,10
sts15-blk-00087,0.004,48,49,0.004,48,54,0.002,48,45
sts15-blk-00088,0.002,16,33,0.002,16,22,0.001,16,24
sts15-blk-00089,0.003,20,37,0.004,20,36,0.002,20,34
sts15-blk-00090,0.003,48,47,0.004,48,52,0.002,48,49
sts15-blk-00091,0.003,24,44,0.003,24,34,0.002,24,45
sts15-blk-00092,0.003,24,31,0.003,24,26,0.001,24,33
sts15-blk-00093,0.003,32,35,0.003,32,36,0.001,32,37
sts15-blk-00094,0.002,8,14,0.002,8,18,0.001,8,13
sts15-blk-00095,0.002,16,22,0.003,16,29,0.002,16,30
sts15-blk-00096,0.003,24,22,0.003,24,36,0.002,24,30
sts15-blk-00097,0.002,12,22,0.002,12,22,0.001,12,25
sts15-blk-00098,0.003,24,37,0.003,24,28,0.002,24,30
sts15-blk-00099,0.003,20,25,0.003,20,28,0.001,20,31
sts15-blk-00100,0.004,28,59,0.004,28,50,0.002,28,40
sts15-blk-00101,0.003,20,28,0.003,20,36,0.001,20,27
sts15-blk-00102,0.003,24,32,0.004,24,42,0.002,24,40
sts15-blk-00103,0.002,8,15,0.002,8,10,0.001,8,18
sts15-blk-00104,0.003,20,36,0.003,20,37,0.002,20,43
sts15-blk-00105,0.003,24,35,0.004,24,53,0.002,24,52
sts15-blk-00106,0.004,20,48,0.004,20,42,0.002,20,36
sts15-blk-00107,0.004,24,38,0.004,24,48,0.002,24,39
sts15-blk-00108,0.006,64,84,0.005,64,62,0.002,64,62
sts15-blk-00109,0.004,32,51,0.004,32,49,0.002,32,42
sts15-blk-00110,0.006,48,61,0.005,48,56,0.002,48,52
sts15-blk-00111,0.004,24,55,0.004,24,40,0.002,24,39
sts15-blk-00112,0.003,16,28,0.003,16,26,0.001,16,22
sts15-blk-00115,0.004,24,48,0.004,24,41,0.002,24,35
sts15-blk-00116,0.003,16,30,0.003,16,28,0.002,16,34
sts15-blk-00119,0.003,16,21,0.003,16,27,0.001,16,27
sts15-blk-00120,0.004,24,54,0.003,24,37,0.002,24,41
sts15-blk-00121,0.003,20,41,0.003,20,33,0.002,20,35
sts15-blk-00125,0.003,16,34,0.003,16,33,0.002,16,30
sts15-blk-00126,0.003,24,39,0.003,24,39,0.002,24,42
sts15-blk-00128,0.003,24,39,0.003,24,33,0.002,24,37
sts15-blk-00129,0.005,40,70,0.004,40,60,0.003,40,71
sts15-blk-00130,0.002,12,20,0.003,12,30,0.001,12,21
sts15-blk-00131,0.003,24,46,0.004,24,40,0.002,24,37
sts15-blk-00132,0.004,28,50,0.003,28,34,0.002,28,47
sts15-blk-00133,0.004,20,42,0.003,20,32,0.002,20,42
sts15-blk-00134,0.004,28,53,0.004,28,42,0.002,28,44
sts15-blk-00135,0.004,28,52,0.004,28,48,0.002,28,57
sts15-blk-00136,0.002,16,26,0.003,16,30,0.001,16,28
sts15-blk-00137,0.003,16,29,0.003,16,39,0.001,16,28
sts15-blk-00138,0.003,20,36,0.003,20,31,0.002,20,41
sts15-blk-00140,0.006,48,62,0.005,48,61,0.002,48,63
sts15-blk-00141,0.003,20,41,0.003,20,27,0.002,20,32
sts15-blk-00142,0.002,20,29,0.003,20,27,0.002,20,41
sts15-blk-00143,0.003,16,31,0.003,16,35,0.002,16,38
sts15-blk-00144,0.005,16,44,0.003,16,36,0.002,16,36
sts15-blk-00145,0.003,24,37,0.003,24,40,0.002,24,47
sts15-blk-00146,0.003,28,49,0.003,28,34,0.002,28,38
sts15-blk-00147,0.003,28,51,0.004,28,47,0.002,28,45
sts15-blk-00148,0.004,28,48,0.004,28,52,0.002,28,44
sts15-blk-00149,0.003,24,40,0.004,24,43,0.002,24,39
sts15-blk-00150,0.003,16,37,0.003,16,34,0.002,16,35
sts15-blk-00151,0.004,28,49,0.003,28,38,0.002,28,46
sts15-blk-00152,0.004,24,53,0.004,24,47,0.002,24,36
sts15-blk-00153,0.005,64,82,0.005,64,60,0.002,64,61
sts15-blk-00154,0.004,40,62,0.004,40,52,0.002,40,65
sts15-blk-00155,0.003,40,44,0.005,40,58,0.002,40,52
sts15-blk-00156,0.002,8,13,0.002,8,16,0.001,8,17
sts15-blk-00157,0.004,24,57,0.004,24,47,0.002,24,48
tetrominoes_4x5,0.062,454,517,0.173,454,786,0.090,454,624
tetrominoes_4x7,0.310,9157,1573,3.161,9157,9817,0.483,9157,2228
tetrominoes_6x6,TO,TO,TO,TO,TO,TO,TO,TO,TO
tetrominoes_6x8,TO,TO,TO,TO,TO,TO,TO,TO,TO
