Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions
Switch,0.351,2279438093318474291882336,5679,1.788,2279438093318474291882336,13154,0.536,2279438093318474291882336,6844
SwitchL3,0.016,2814573775104,364,0.039,2814573775104,709,0.009,2814573775104,323
Syringa,1.608,10089788438219191257523968000,21810,9.578,10089788438219191257523968000,53954,1.092,10089788438219191257523968000,17578
TataNld,0.990,116699270316984507028179654846752222085120000,13081,5.040,116699270316984507028179654846752222085120000,32513,1.159,116699270316984507028179654846752222085120000,13815
Telcove,5.876,74165451814712814103255500,22779,72.318,74165451814712814103255500,26161,8.182,74165451814712814103255500,17701
Tinet,0.349,13027376900512716134400,5342,1.339,13027376900512716134400,10518,0.370,13027376900512716134400,4683
Tw,1.354,3790029909358778736510720000,10042,6.829,3790029909358778736510720000,13709,0.969,3790029909358778736510720000,5372
Ulaknet,50.561,756492510715200,27341,TO,TO,TO,23.359,756492510715200,19167
Uninett2010,11.734,120545239248463249868042304,62137,191.590,120545239248463249868042304,52303,16.807,120545239248463249868042304,63738
UsCarrier,21.850,132299646414148921973967297061663323763487466000,23014,TO,TO,TO,30.068,132299646414148921973967297061663323763487466000,18847
UsSignal,0.779,3542621686896383831250,10236,4.220,3542621686896383831250,26921,0.558,3542621686896383831250,6422
Uunet,0.027,1505816007051840,741,0.069,1505816007051840,1198,0.017,1505816007051840,763
VtlWavenet2008,1.668,124108206211482212912333137920,17931,25.213,124108206211482212912333137920,99721,1.784,124108206211482212912333137920,17301
VtlWavenet2011,3.411,2067181203168727884189854085729600,43271,26.011,2067181203168727884189854085729600,158000,2.655,2067181203168727884189854085729600,40516
bell-06,0.005,203,253,0.013,203,149,0.006,203,151
bell-07,0.025,877,883,0.049,877,493,0.051,877,790
bell-08,0.167,4140,2925,0.233,4140,1621,0.334,4140,3239
bell-09,1.180,21147,11889,1.329,21147,5211,2.902,21147,14486
bell-10,10.121,115975,44726,16.357,115975,18797,35.559,115975,76670
delta,37.077,78,687,23.719,78,534,26.328,78,1284
dominoes_10x10,1.364,258584046368,16478,1.738,429041663456,23038,0.341,258584046368,8365
dominoes_10x12,3.502,65743732590821,42715,4.870,105301729976063,65902,0.786,65743732590821,18069
dominoes_12x12,13.820,53060477521960000,151929,20.246,82269012668580800,233556,3.404,53060477521960000,62470
dominoes_8x10,0.368,1031151241,4741,0.405,1788893727,6103,0.082,1031151241,2492
dominoes_8x8,0.147,12988816,1839,0.221,23647984,3266,0.041,12988816,1246
doublefact-09,0.010,945,482,0.013,945,439,0.005,945,423
doublefact-11,0.063,10395,2775,0.074,10395,2095,0.032,10395,2412
doublefact-13,0.456,135135,16332,0.319,135135,7590,0.212,135135,11939
doublefact-15,3.336,2027025,104196,2.071,2027025,39761,1.298,2027025,59237
doublefact-17,30.352,34459425,718613,10.001,34459425,164934,7.160,34459425,243183
grafo10006.98,3.444,272471817868228000342011539250,44047,20.097,272471817868228000342011539250,81011,3.888,272471817868228000342011539250,38336
grafo10072.97,3.472,13259058958914480360125792,34498,10.290,13259058958914480360125792,29770,3.626,13259058958914480360125792,30759
grafo10084.97,1.878,2215710702367944079837593600,10586,10.866,2215710702367944079837593600,13560,1.649,2215710702367944079837593600,5708
grafo10093.98,0.223,12011373629043051434493001680,3581,0.874,12011373629043051434493001680,9455,0.197,12011373629043051434493001680,4043
grafo10099.94,7.292,39349088628024795597276038431211520,78670,39.394,39349088628024795597276038431211520,172253,4.246,39349088628024795597276038431211520,44471
grafo10100.99,2.838,7977811134928620432600,25156,13.873,7977811134928620432600,32394,2.995,7977811134928620432600,18689
grafo10105.93,35.637,1235530189623079694604780000,96792,267.062,1235530189623079694604780000,128343,19.749,1235530189623079694604780000,61548
grafo10112.98,49.301,12692215709904984401077716142166580,277425,TO,TO,TO,67.167,12692215709904984401077716142166580,211324
grafo10113.94,2.132,13552406625123665520153488091360,30151,25.950,13552406625123665520153488091360,213610,1.308,13552406625123665520153488091360,21334
grafo10116.100,277.005,971179169153002230808540080,162639,TO,TO,TO,38.398,971179169153002230808540080,97586
grafo10124.100,5.600,148037675522027488235960571000,71079,60.929,148037675522027488235960571000,275708,4.468,148037675522027488235960571000,69718
grafo10126.98,60.129,183653527195148472467375902190208,430679,264.603,343289771213882222939204508676704,588610,27.514,183653527195148472467375902190208,224143
grafo10129.99,204.407,198551644286553956304688320,49246,TO,TO,TO,246.899,198551644286553956304688320,25170
grafo10146.97,2.223,36084888290235633242565472,22180,11.285,36084888290235633242565472,38797,1.510,36084888290235633242565472,16484
grafo10151.94,148.181,884237567251276314795903728,552926,TO,TO,TO,79.444,884237567251276314795903728,449823
grafo10153.100,53.629,1522606325222540988002985840,250203,TO,TO,TO,22.921,1522606325222540988002985840,84519
grafo10156.97,1.173,20350483027459989276721853299680,16764,4.706,20350483027459989276721853299680,39485,0.937,20350483027459989276721853299680,20066
grafo10161.99,107.062,7499629965587176856336728953760,45606,TO,TO,TO,70.478,7499629965587176856336728953760,38647
grafo10162.93,10.867,16943723066030712130728,63954,192.352,16943723066030712130728,35576,11.223,16943723066030712130728,29257
grafo10171.99,5.009,15378287316672584254732985280,30837,13.921,15378287316672584254732985280,64620,2.699,15378287316672584254732985280,24745
grafo10173.97,53.418,8321947117800534439910676000,555783,494.108,8321947117800534439910676000,1512487,110.044,8321947117800534439910676000,743949
grafo10175.99,0.953,85388328645309376216506001872,14249,3.048,85388328645309376216506001872,31238,0.485,85388328645309376216506001872,13316
grafo10176.97,4.495,110391288988965933859653042432,30790,72.106,110391288988965933859653042432,63928,3.967,110391288988965933859653042432,29441
grafo10179.97,217.150,3283276628857985077912945920,1793173,TO,TO,TO,91.686,3283276628857985077912945920,462411
grafo10184.100,2.470,774260303763303208390801489920,22614,23.377,774260303763303208390801489920,46874,2.004,774260303763303208390801489920,10644
grafo10195.99,0.679,190292079107394297194953680,7548,1.528,190292079107394297194953680,10132,0.486,190292079107394297194953680,7175
grafo10203.97,0.442,60240136444714215336356779770000,7444,2.415,60240136444714215336356779770000,21099,0.341,60240136444714215336356779770000,7230
grafo10204.100,13.040,29653634898146327380379042234220,130519,123.893,29653634898146327380379042234220,163971,10.261,29653634898146327380379042234220,66204
grafo10205.97,0.535,1047098415602374598602584000,5005,1.461,1749810389493824951419656000,11487,0.411,1047098415602374598602584000,5174
grafo10207.98,1.266,407524009110382244942767825920,6710,6.562,407524009110382244942767825920,11233,0.879,407524009110382244942767825920,5653
grafo10209.99,1.200,1778405443010598595931612784,13858,6.564,1778405443010598595931612784,31414,1.169,1778405443010598595931612784,13167
grafo10215.93,0.365,4429033439896804903015219200,4896,1.593,4429033439896804903015219200,12175,0.407,4429033439896804903015219200,5093
grafo10218.99,105.506,38667105817754346010481229216,860554,TO,TO,TO,84.335,38667105817754346010481229216,318916
grafo10220.97,9.043,1790803918795800975261000000,30793,224.314,1790803918795800975261000000,34408,6.720,1790803918795800975261000000,15946
grafo10223.100,15.540,328837542685158315870007155,69230,148.524,328837542685158315870007155,26680,9.584,328837542685158315870007155,26834
grafo10244.99,9.575,9063532329631820153122673664,31718,226.195,9063532329631820153122673664,43725,10.363,9063532329631820153122673664,27079
grafo10250.100,1.633,114852967527687017594839695360,14066,11.161,114852967527687017594839695360,42782,1.294,114852967527687017594839695360,13758
grafo10262.100,0.489,6525746259024633846681600,3725,1.332,6525746259024633846681600,6216,0.372,6525746259024633846681600,3488
grafo10265.100,0.193,32094343893604867070884746240,3773,0.391,32094343893604867070884746240,5773,0.091,32094343893604867070884746240,3150
grafo10266.94,1.034,110801121815568366975240,10365,3.947,110801121815568366975240,11781,0.693,110801121815568366975240,5151
grafo10269.99,5.047,380480960212526987313930000,16152,44.450,380480960212526987313930000,22445,3.854,380480960212526987313930000,10576
grafo10273.97,2.798,33635956333383979125105139200,21188,12.068,67178219195087222932313049600,35995,1.617,33635956333383979125105139200,13239
grafo10275.97,7.255,244643834228122975019518779960,103601,29.875,244643834228122975019518779960,162719,4.639,244643834228122975019518779960,74099
grafo10288.95,0.425,67924110954574990800416160000,7309,1.830,67924110954574990800416160000,19307,0.266,67924110954574990800416160000,6923
grafo10291.93,1.728,8089182960223746111277546359360,23934,10.424,8089182960223746111277546359360,73453,0.873,8089182960223746111277546359360,17495
grafo10293.99,0.971,1189967169400391312521176624192,10983,3.404,1189967169400391312521176624192,29893,0.534,1189967169400391312521176624192,12616
grafo10297.98,0.649,5047361956059511058420258045952,12114,4.087,5047361956059511058420258045952,28903,0.769,5047361956059511058420258045952,10429
grafo10298.97,0.582,6411956755318891248938904345600,7386,2.595,6411956755318891248938904345600,17978,0.629,6411956755318891248938904345600,7531
grafo10303.96,0.659,336623282871798635541043488000,8008,3.159,336623282871798635541043488000,22952,0.742,336623282871798635541043488000,8834
grafo10305.100,2.931,292616449355000172969265830912,10988,22.892,292616449355000172969265830912,23288,2.586,292616449355000172969265830912,9618
grafo10318.98,14.474,160075764596308430431394162528,85633,137.744,160075764596308430431394162528,54686,9.426,160075764596308430431394162528,31396
grafo10325.96,13.361,1515402842894491432903083787725,189419,154.319,1515402842894491432903083787725,723076,6.995,1515402842894491432903083787725,101826
grafo10327.97,0.684,6668191872233180852367168,7368,2.216,6668191872233180852367168,14030,0.725,6668191872233180852367168,8257
grafo10339.95,22.916,154016948980994323270086040,156041,360.402,154016948980994323270086040,156278,19.942,154016948980994323270086040,82418
grafo10346.97,1.942,85352803321813705564434487680,24961,3.642,85352803321813705564434487680,31200,0.865,85352803321813705564434487680,22842
grafo10351.97,119.731,3038891642273243664196962750,441417,TO,TO,TO,80.428,3038891642273243664196962750,121197
grafo10353.99,2.861,577765059452569037115956736,28826,5.629,577765059452569037115956736,38003,3.303,577765059452569037115956736,39508
grafo10354.99,1.224,2635922965070113457943960,9586,9.789,2635922965070113457943960,12360,1.334,2635922965070113457943960,6526
grafo10359.95,44.986,21232201433844641535018326254080,478006,220.475,21232201433844641535018326254080,430699,34.269,21232201433844641535018326254080,178791
grafo10362.94,13.093,13439932228370461283870400,87625,92.159,13439932228370461283870400,58449,7.868,13439932228370461283870400,31699
grafo10365.97,114.487,25575909770099386458374460,227671,TO,TO,TO,192.051,25575909770099386458374460,236707
grafo10369.100,1.982,162269574458684398363738080,7073,15.569,162269574458684398363738080,8788,2.026,162269574458684398363738080,5580
grafo10383.99,19.939,48590627320293679248909600,53891,366.449,48590627320293679248909600,115292,16.324,48590627320293679248909600,44006
grafo10387.97,0.198,928110106585327508832600,2470,0.583,928110106585327508832600,5485,0.132,928110106585327508832600,2296
grafo10388.95,3.352,100871271571286563976946948624,21894,13.291,100871271571286563976946948624,40528,1.974,100871271571286563976946948624,14626
grafo10409.96,0.880,139058476479714794419701648,9522,4.873,139058476479714794419701648,14819,0.885,139058476479714794419701648,7093
grafo10416.96,0.823,271249176254157952533452952,5550,2.312,271249176254157952533452952,8740,0.621,271249176254157952533452952,4814
grafo10418.100,1.250,147754061920021215867995714457600,13902,5.262,147754061920021215867995714457600,19171,1.037,147754061920021215867995714457600,9791
grafo10420.97,0.512,40799332872710765774848481424384,8916,2.580,40799332872710765774848481424384,25131,0.433,40799332872710765774848481424384,8984
grafo10421.99,4.347,52350402903229612656419750400,37513,20.438,52350402903229612656419750400,32835,2.715,52350402903229612656419750400,12700
grafo10426.100,27.372,1827792182028002330287070982157036,331516,195.206,1827792182028002330287070982157036,879008,29.642,1827792182028002330287070982157036,331539
grafo10432.99,1.373,39585030704867624378340600668160,16532,3.856,39585030704867624378340600668160,28827,0.703,39585030704867624378340600668160,13764
grafo10436.95,15.293,4397495877745499771502988640640,67316,247.758,4397495877745499771502988640640,95064,11.977,4397495877745499771502988640640,44027
grafo10444.100,1.474,16141694039854526732472576000000,24766,9.228,16141694039854526732472576000000,66121,1.392,16141694039854526732472576000000,18610
grafo10445.94,18.105,139093054073990193881088000,52537,364.269,139093054073990193881088000,58562,12.627,139093054073990193881088000,19262
grafo10446.95,0.490,1406626619252431805138851200,6022,1.087,1406626619252431805138851200,9451,0.334,1406626619252431805138851200,6741
grafo10452.94,0.469,1302522886890895552129225440,4394,1.484,1302522886890895552129225440,7673,0.410,1302522886890895552129225440,4576
grafo10453.97,0.853,978085055060719586502813757440,12790,2.287,978085055060719586502813757440,18989,0.548,978085055060719586502813757440,13230
grafo10467.100,7.020,829005255557150402856812544000,78471,22.491,829005255557150402856812544000,75561,4.055,829005255557150402856812544000,33590
grafo10469.100,1.817,29833371992729329249984,14403,7.887,29833371992729329249984,26321,1.511,29833371992729329249984,14255
grafo10484.99,12.547,2800369925851353194772692875,17412,221.954,2800369925851353194772692875,14794,11.285,2800369925851353194772692875,10708
grafo10488.98,1.924,147530693993345834083200,6174,6.881,147530693993345834083200,8641,0.814,147530693993345834083200,5590
grafo10492.96,273.225,38385060996073952528012304,274390,TO,TO,TO,270.271,38385060996073952528012304,178789
grafo10501.96,8.515,60200824737438188138649600000,106796,43.833,60200824737438188138649600000,174009,4.842,60200824737438188138649600000,45289
grafo10502.91,3.376,17145714310767787059504,5830,49.990,17145714310767787059504,8785,1.990,17145714310767787059504,4905
grafo10516.94,29.113,15349626258814572399639360,243529,220.312,15349626258814572399639360,156299,18.903,15349626258814572399639360,101458
grafo10522.99,101.380,1362396344215079666562581191680,236482,TO,TO,TO,38.406,1362396344215079666562581191680,66588
grafo10523.97,3.964,2582091752234108448983040,9039,58.024,2582091752234108448983040,10352,3.581,2582091752234108448983040,5570
grafo10532.99,11.988,462566039822118771475073572512,77664,41.180,462566039822118771475073572512,191911,3.500,462566039822118771475073572512,45689
grafo10533.100,8.451,75765334881122745334866192794594400,85593,52.596,75765334881122745334866192794594400,256900,6.248,75765334881122745334866192794594400,65672
grafo10534.100,0.850,6190404474802541320344211290206208,12337,5.291,6190404474802541320344211290206208,34746,0.882,6190404474802541320344211290206208,13519
grafo10536.99,0.605,89947113720736152688205852520,6998,2.808,89947113720736152688205852520,23913,0.375,89947113720736152688205852520,6319
grafo10538.100,5.866,789373682830989325271163816,55358,58.079,789373682830989325271163816,277880,3.258,789373682830989325271163816,39133
grafo10547.94,5.307,6784952125033040430938400,19763,26.483,6784952125033040430938400,72022,3.180,6784952125033040430938400,22246
grafo10549.99,11.460,1145040940241452014901674319885248,83049,114.569,1145040940241452014901674319885248,99526,11.254,1145040940241452014901674319885248,53367
grafo10552.96,35.432,20889029397226285157195570148,290396,TO,TO,TO,44.693,20889029397226285157195570148,159485
grafo10560.95,0.803,10454917675207673432929607718912,8967,5.109,10454917675207673432929607718912,25517,0.857,10454917675207673432929607718912,11022
grafo10575.99,9.524,290401904358524035719206484192,84950,TO,TO,TO,7.106,290401904358524035719206484192,66795
grafo10577.100,16.384,289452947838024215689962434880,49972,TO,TO,TO,18.880,289452947838024215689962434880,38499
grafo10578.96,1.384,59448044221069477278245400,6283,6.572,59448044221069477278245400,9279,1.627,59448044221069477278245400,6776
grafo10586.100,1.539,3148492073586458925239257920,12869,4.031,3148492073586458925239257920,40116,0.698,3148492073586458925239257920,12528
grafo10589.93,16.907,48907524397035141831510108060,132146,TO,TO,TO,13.337,48907524397035141831510108060,74859
grafo10592.98,1.449,2607343682329504256862467094951600,27859,18.511,2607343682329504256862467094951600,108705,2.094,2607343682329504256862467094951600,49180
grafo10596.99,1.221,112573774918535869185914200320,15846,3.203,112573774918535869185914200320,21397,0.738,112573774918535869185914200320,10611
grafo10603.100,1.682,670515323535794966768000,21552,16.140,670515323535794966768000,119039,1.194,670515323535794966768000,26915
grafo10608.93,1.200,2731816373006312109429752800,13900,8.030,2731816373006312109429752800,38319,1.276,2731816373006312109429752800,14303
grafo10624.91,0.656,28252598579182428029482758660,8229,2.349,28252598579182428029482758660,11146,0.591,28252598579182428029482758660,6740
grafo10626.100,0.422,123805968402809495607386400,4365,1.381,123805968402809495607386400,9159,0.295,123805968402809495607386400,4039
grafo10630.94,24.824,42203028634531492749435200,240261,TO,TO,TO,15.581,42203028634531492749435200,116977
grafo10632.100,14.204,574873638719068404760642606008000,55018,TO,TO,TO,14.555,574873638719068404760642606008000,41663
grafo10634.96,9.985,1654661607863151503791546470072,92152,TO,TO,TO,14.786,1654661607863151503791546470072,88240
grafo10635.95,1.949,71356613932690877273184000,21900,13.183,71356613932690877273184000,77486,1.111,71356613932690877273184000,14353
grafo10637.94,1.846,11214433932496991100576672,18083,17.567,11214433932496991100576672,50749,1.323,11214433932496991100576672,11112
grafo10638.100,0.750,186453077689245827319552,6599,1.279,186453077689245827319552,12286,0.352,186453077689245827319552,6462
grafo10644.100,8.684,465721805127078320112415926,103919,TO,TO,TO,6.566,465721805127078320112415926,53140
grafo10646.100,1.475,9820844339917672108320000,14489,7.752,9820844339917672108320000,74577,0.609,9820844339917672108320000,13782
grafo10648.98,13.965,356474569742739338284800,30835,TO,TO,TO,13.608,356474569742739338284800,19595
grafo10650.98,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10653.100,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10662.100,4.054,27178777349470484479346220000,43254,TO,TO,TO,1.868,27178777349470484479346220000,22313
grafo10663.99,1.492,10004537904397046812627562880,12064,10.081,10004537904397046812627562880,20296,1.067,10004537904397046812627562880,7675
grafo10671.100,TO,TO,TO,TO,TO,TO,TO,TO,TO
grafo10674.99,5.549,5795071987312867464401288085504,48922,TO,TO,TO,4.930,5795071987312867464401288085504,34571
grafo10676.100,0.598,88449251051691116273910908805120,8870,7.383,88449251051691116273910908805120,40845,0.645,88449251051691116273910908805120,9551
